"author_id","author_name"
"141","A C Kdp"
"16606","A Canadian"
"534","A Churchman"
"48840","A Constance Sear"
"1450","A Country Gentleman"
"4236","A D Jameson"
"43371","A D Webster"
"31690","A Design Creation"
"33174","A E Beck"
"29487","A Esmein"
"40719","A F M Willich"
"24866","A F Morris Hands"
"12207","A Fore-Top-Man"
"28591","A Fowlpun"
"727","A Frederick 1869- Collins"
"30210","A Friend to Innocent Mirth"
"30509","A Full Cast"
"29535","A G Cerda"
"22744","A Gentleman"
"48947","A Gibbons"
"16710","A Gilbert"
"22171","A Graduate"
"27370","A H Barbour"
"34470","A H Bridle"
"11187","A H Nelson"
"40312","A Harle"
"11737","A Herr"
"39066","A Hope"
"33811","A J Beckles"
"28482","A J Bicknell & Co"
"7261","A J Howells"
"36","A J Williamson"
"20369","A J Withers"
"23173","A K Isbister"
"18322","A K M Shahidul Islam"
"33312","A L Dawn French"
"22040","A Lady of Rhode Island"
"39506","A Lawson"
"27675","A Layman"
"2300","A Lea Roth"
"3120","A Liautard"
"27514","A Literary Association"
"40754","A M Edwards"
"98","A M Lang"
"3114","A M Leslie"
"39098","A Madoo"
"15319","A Mason"
"20953","A Mere Man"
"12352","A N Okonoboh"
"4267","A Norwest Co Emjay Corporation"
"50185","A P Bah Bioh"
"23819","A P Potts"
"38232","A Parish Doctor"
"4466","A Pedestrian"
"40778","A R D MacKenzie"
"42300","A R Roumanis"
"45945","A Ravi Sankar"
"44480","A Roulier"
"7545","A Ruiter"
"29028","A S Berman"
"46887","A S Gintzler"
"46654","A S Leo Scorpionies Mayur"
"1154","A S Rangwala"
"22439","A S Walpole"
"33256","A Sasekumar"
"31617","A Shareholder"
"38915","A Sheridan Lea"
"12450","A Siline-Bekchourine"
"5753","A Skene Smith"
"40820","A Spiritual Physician"
"3191","A Staff of Eminent Geographers"
"27722","A Stationer"
"39061","A Stevens"
"11744","A Sturmer"
"44132","A T Galt"
"37638","A T Robertson"
"36644","A T Stearns Lumber Company"
"19267","A T Strahorn"
"29594","A Thakore"
"14968","A V N Swamy"
"8696","A V Williams Jackson"
"23726","A W Book"
"4125","A W Shaw Company"
"36173","A W Tozer"
"4467","A Walton"
"2633","A Young Lady"
"40737","A Z Godunov"
"34295","A a Spring"
"43887","A+ Planners"
"25719","A+u Publishing"
"35230","A-C Motron"
"14997","A. A. Antonopoulos"
"14622","A. A. Collyer"
"48739","A. A. Dhand"
"18128","A. A. Dolinsky"
"11385","A. A. Martynyk"
"2779","A. A. Vasil'ev"
"26345","A. Aaron"
"14646","A. Aguado"
"19475","A. Ali"
"53","A. Alonso Aguirre"
"7671","A. Amstutz"
"19859","A. Aves"
"8459","A. B. Aries"
"12935","A. B. M. Shawkat Ali"
"4421","A. B. Mitford"
"31842","A. B. Saddlewick"
"38285","A. B. Sossinsky"
"14543","A. Barbalata"
"42585","A. Beckett"
"34728","A. Beer"
"42589","A. Bellemere"
"36890","A. Bertram Chandler"
"8457","A. Bianchini"
"12659","A. Block"
"41651","A. Bowdoin Van Riper"
"15378","A. Butcher"
"19383","A. C. Dale"
"36634","A. C. Fellner"
"9763","A. C. Knipe"
"14576","A. Calmon-Decriaud"
"19901","A. Cattana"
"27188","A. Cheremensky"
"21224","A. Clark"
"34766","A. Cumming"
"48529","A. D. Lee"
"39957","A. Douglas Kinghorn"
"46260","A. Dumitrescu"
"12032","A. E. Lockington"
"40595","A. E. Patla"
"10404","A. Fernandez"
"14883","A. Fiechter"
"29536","A. Findlay"
"37896","A. Fröhlich"
"47935","A. G. Hopkins"
"22208","A. G. Smith"
"33979","A. G. Taylor"
"15307","A. Gomes Correia"
"8556","A. Gordon Emslie"
"38492","A. Heisel"
"42583","A. Henssen"
"12163","A. I. Cherepanov"
"2793","A. I. Lebedev"
"37252","A. J. Colucci"
"28048","A. J. Fairbank"
"19164","A. J. Hermans"
"8943","A. J. Willis"
"8630","A. Jafar"
"18814","A. Jayalakshmi"
"32408","A. Jon Berrick"
"31440","A. K. Alexander"
"42506","A. K. Davidson"
"3943","A. K. Dewdney"
"45756","A. K. Ganguly"
"43532","A. K. Gupta"
"14450","A. K. Haghi"
"40677","A. Kasperczyk"
"36315","A. Lee Martinez"
"19417","A. M. Chandra"
"8458","A. M. Fridman"
"15052","A. M. Kutepov"
"36907","A. M. Madden"
"10302","A. M. Magill"
"14740","A. M. Verga Scheggi"
"40631","A. Marston"
"8822","A. Merino"
"32128","A. Meuss"
"38961","A. N. Kolmogorov"
"4886","A. Norman Jeffares"
"14205","A. P. Mouritz"
"2763","A. P. Roberts"
"13459","A. P. Vorotnikov"
"38960","A. P. Yushkevich"
"45590","A. Pastore"
"28933","A. Paula Wilson"
"27294","A. Pinkus"
"4929","A. R. Ammons"
"14773","A. R. Jha"
"27758","A. R. Penck"
"32811","A. R. Winters"
"36166","A. R. Wise"
"14052","A. Ribeiro"
"20946","A. S. Hornby"
"6869","A. S. Kompanayets"
"2794","A. S. Leviant"
"43552","A. S. Saidan"
"39780","A. Sahoo"
"28117","A. Sanguineti"
"14460","A. Sankaranarayanan"
"19466","A. Sarja"
"33961","A. Sasekumar"
"2876","A. Selwyn St.Leger"
"41201","A. Smith"
"37016","A. T. Chandler"
"27322","A. T. Fomenko"
"16127","A. T. Robertson"
"41877","A. V. Dicey"
"17701","A. V. Ragulya"
"15051","A. V. Vyazmin"
"11283","A. Veprik"
"38568","A. William Pasculle"
"21505","A. Wright"
"12245","A. de Sa"
"18307","A.-P. Jauho"
"987","A.A. Borisov"
"12566","A.B. Movchan"
"36698","A.C. Bishop"
"12997","A.C. Chang"
"14537","A.D. Trifunac"
"26068","A.E. Fiadone"
"38598","A.G. Adelman"
"15523","A.G. Kirdyashkin"
"16715","A.G. Watts"
"276","A.Glenn Mandeville"
"1320","A.H. Barkawi"
"36665","A.H. Havelaar"
"45742","A.H. Tran"
"44475","A.H.Z. Carr"
"33724","A.J. Banner"
"19535","A.J. Keane"
"36627","A.J. Millar"
"33763","A.J. Withers"
"12687","A.L. Berger"
"40213","A.L. Betz"
"988","A.L. Kuhl"
"39625","A.M. Ehrly"
"30977","A.M. Young"
"12079","A.M.M. Elfeki"
"11022","A.N. Ince"
"42576","A.R. Luther"
"36696","A.R. Woolley"
"11999","A.S. Chirkin"
"40335","A.S. Naidu"
"49213","A.W. Plumstead"
"773","AA Publishing"
"15242","AA. VV."
"15775","AA.Vv."
"42423","ABI ELPHINSTONE"
"5019","ABI Morgan"
"17787","ACHONWA CHINYERE"
"39798","ACSM"
"10841","ACerS (American Ceramic Society)"
"8967","ADAM SCAIFE"
"35075","AIAA"
"831","AIAA (American Institute of Aeronautics and Astronautics)"
"832","AIAA/Asme/Asce/AHS/Asc Structures Structural Dynamics and Materials Conference"
"42980","AMC"
"14746","AMIT KUMAR"
"844","ANDREW MARANTZ"
"26737","ASCII Media Works"
"15112","ASM International"
"13372","ATLANTIC PUBLISHING GROUP"
"47040","AXELOS"
"28610","AYUB KHAN"
"47593","Aa VV"
"1840","Aaha"
"40381","Aamir Ahmad"
"2007","Aana Marie Vigen"
"40157","Aapa"
"31338","Aaron Abano"
"34652","Aaron Auerbach"
"46926","Aaron Baddey"
"43993","Aaron Barlow"
"21748","Aaron Chamberlain"
"4329","Aaron Clarke"
"2107","Aaron Daffern"
"14150","Aaron Frank"
"47472","Aaron Garretson"
"15486","Aaron Graves"
"6320","Aaron Hughes"
"39284","Aaron J. Burwick"
"23139","Aaron Jadober"
"33537","Aaron Jolly"
"41175","Aaron Joy"
"36064","Aaron Landon"
"41292","Aaron Linsdau"
"22142","Aaron Lopresti"
"11970","Aaron Martin"
"3468","Aaron Millar"
"41065","Aaron Reed Crna"
"34579","Aaron Reynolds"
"35894","Aaron Rhames"
"5699","Aaron Ridley"
"38530","Aaron Robertson"
"36631","Aaron Ross Powell"
"39477","Aaron Shepard"
"37157","Aaron Smith"
"23268","Aaron Sramek"
"31357","Aaron Waite"
"18820","Aaron Wildavsky"
"385","Aaron Wilkes"
"34085","Aarti Aney Menon"
"20805","Aarti Ratna"
"46700","Ab Eric"
"46417","Ab Razak Che Hussin"
"45805","Abad Ali Shah"
"27998","Abanindranath Tagore"
"47365","Abatron Logbooks"
"3034","Abb Landis"
"20073","Abbas Al-Tonsi"
"12547","Abbas Ghassemi"
"22297","Abbas Mirakhor"
"3380","Abbe Bates"
"31771","Abbe Holmes"
"40367","Abbe Research Division"
"2515","Abbi Glines"
"43335","Abbi Jacobson"
"41537","Abbie Emmons"
"35856","Abbie Williams"
"42416","Abbot Kinney"
"29976","Abbott Payson Usher"
"28829","Abby Books"
"9178","Abby Colich"
"36752","Abby Craden"
"2255","Abby Dening"
"23866","Abby Gilchrist"
"16958","Abby Marks-Beale"
"3342","Abdallah Emran"
"45538","Abdel Bari Atwan"
"24098","Abdelali Aabi"
"12736","Abdelazim M. Negm"
"10771","Abdelaziz El Kfita"
"8113","Abdelkader Chachi"
"12264","Abdelkhalak El Hami"
"47791","Abdellah Touhafi"
"40963","Abdelmonem Abdelaziz Afifi"
"2799","Abderahmane Rehail"
"46510","Abdessamad Benzir"
"9038","Abdias Trew"
"24027","Abdou Kadir"
"37406","Abdoulaye Kane"
"7053","Abdul Alkalimat"
"45541","Abdul B Subhani"
"15336","Abdul Gabbar Al-Sharafi"
"46196","Abdul Salam"
"30672","Abdul Shukor"
"7215","Abduljabbar Turki Afaq"
"10057","Abdullah Bashar Mudhaffar"
"9169","Abdullah M. Asiri"
"12345","Abdulrahman Yarali"
"1400","Abe Chuzzlewit"
"38962","Abe Shenitzer"
"45912","Abel Monfort de Bedoya"
"39020","Abernethy John 1764-1831"
"21830","Abheek Singhi"
"37859","Abhijit DasGupta"
"35803","Abhinav Kaushik"
"22130","Abhinay Muthoo"
"44849","Abhishek Chopra"
"31283","Abhishek Sharma"
"18151","Abi Rafiee"
"26558","Abi Umeda"
"15447","Abigail Flesch Connors"
"9235","Abigail Halpin"
"3436","Abigail Kemp"
"31351","Abigail Roux"
"15950","Abigail Schmidt"
"46539","Abigail Sellen"
"35930","Abigail Strom"
"9642","Abigail Wheatley"
"859","Abilio Estevez"
"24207","Abiodun Elijah Obayelu"
"20459","Abiola Odejide"
"2621","Abira Das"
"46483","Aboul Ella Hassanien"
"44133","Abraham Edward Pinanski"
"29556","Abraham Geiger"
"9082","Abraham Gesner"
"19217","Abraham H. Lass"
"12508","Abraham Kandel"
"43900","Abraham L. Gitlow"
"17586","Abraham Teklu"
"37206","Abraham Vargese"
"48020","Abraham Z. Idelson"
"18005","Abram S. Dorfman"
"34880","Abrams Isabel"
"3726","Abrams Noterie"
"7604","Abrasha Rotenberg"
"26901","Abstract Coloring Book Publishing"
"9250","Abubakar Shehu Mohammed"
"15110","Abul Hasan Siddiqi"
"16864","Abul Pitre"
"36457","Academic Planners"
"23007","Academic Plannerz"
"524","Academy Der Sprachclub"
"15595","Academy of Life Underwriting"
"44048","Academy of Political & Social Science"
"44047","Academy of Political Science"
"13303","Accolade Press"
"17427","Ace"
"10711","Ace Academic Publishing"
"16070","Ace Mccloud"
"40600","Acequia Publications"
"38848","Acharya Balkrishna"
"6861","Acharya S"
"18919","Achile Hernandez"
"46233","Achille Pattavina"
"26890","Achim Hochdörfer"
"33855","Achim Kaiser"
"45633","Achim Schmidtmann"
"8607","Achintya Kumar Pramanick"
"1297","Acie Cargill"
"26842","Aco Arisaka"
"21682","Act"
"30422","Active Creative Journals"
"9890","Active Notebooks"
"26946","Activity Coloring Books"
"24271","Activity Nelo"
"22935","Activitybooks"
"24126","Activityz Publishing"
"9151","Ad La De Felicie"
"2921","Ada Budell"
"28541","Ada Dickey"
"25531","Ada Lovelace"
"1930","Ada Verloren"
"45989","Adal Maldonado"
"14293","Adalberto Vallega"
"19970","Adam   Platinga"
"18840","Adam A. Freeman"
"26707","Adam Arnold"
"20785","Adam Arvidsson"
"6121","Adam Asnyk"
"45452","Adam B. Lowther"
"27716","Adam Barkman"
"6479","Adam Betta"
"48657","Adam Biro"
"9181","Adam Black"
"8119","Adam Blade"
"25477","Adam Budak"
"36439","Adam Burch"
"5544","Adam Burns"
"379","Adam Bushnell"
"5261","Adam Clay"
"38393","Adam Colton"
"5233","Adam Corcoran"
"1014","Adam Cornelius Bert"
"35204","Adam Courtenay"
"5170","Adam Crothers"
"41522","Adam Cygan"
"41564","Adam Czarnota"
"45807","Adam Dodson"
"29407","Adam Dylewski"
"37131","Adam Epstein"
"46798","Adam Feather"
"48644","Adam Fortunate Eagle"
"42034","Adam Frattasio"
"9110","Adam Gamble"
"24582","Adam Golabek"
"31523","Adam Goodheart"
"22224","Adam Goodman"
"7945","Adam Guillain"
"33937","Adam Hall"
"36611","Adam Hamilton"
"48301","Adam Hargreaves"
"7741","Adam Harter"
"34931","Adam Henderson"
"37128","Adam Hochschild"
"20023","Adam Hocker"
"17888","Adam Hodges"
"37561","Adam Hook"
"32329","Adam Ioannou"
"4934","Adam J Kurtz"
"4180","Adam J. Kurtz"
"47891","Adam Jackson"
"23872","Adam Jeremy Capps"
"38499","Adam Jowett"
"4760","Adam Juniper"
"39803","Adam Karpf"
"41268","Adam Kimelman"
"28554","Adam Kipple"
"30185","Adam Kisiel"
"28072","Adam Kopciowski"
"47042","Adam Kramarzewski"
"22483","Adam Kubert"
"45219","Adam L Davis"
"2581","Adam L Gowans"
"41646","Adam Larkum"
"22412","Adam Leavesley"
"19790","Adam Lee"
"18614","Adam Leverton"
"31185","Adam Lofbomm"
"10689","Adam Lucas"
"500","Adam M. Lowenstein"
"48797","Adam Macqueen"
"30609","Adam Merrill"
"10076","Adam Mickiewicz"
"41247","Adam Moran"
"32123","Adam Nabeebaccus"
"36065","Adam North"
"11610","Adam Ockelford"
"3583","Adam Olson"
"11239","Adam Omar Nader"
"19261","Adam Piekarczyk"
"34905","Adam Plantinga"
"40345","Adam Politzer"
"49527","Adam Powley"
"41258","Adam Raider"
"3012","Adam Rapp"
"2525","Adam Record"
"7188","Adam Reitzel"
"29612","Adam Roberts"
"5388","Adam Robinson"
"8624","Adam Ross Solomon"
"28747","Adam Russ"
"20300","Adam Scott"
"19440","Adam Smith"
"5264","Adam Staley Groves"
"19876","Adam Stevens"
"38563","Adam Tate"
"13828","Adam Thierer"
"9073","Adam Thom"
"39782","Adam Thomson"
"31816","Adam Verner"
"35078","Adam Ward"
"10","Adam Zamoyski"
"32121","Adam and Marky"
"28887","Adams Media"
"42559","Addie Boswell"
"45644","Addis Hallmark"
"1607","Addison M Schonland"
"2056","Addy Ferguson"
"43375","Ade Asefeso MCIPS MBA"
"24205","Ade Oriade"
"39795","Adel A Khalifa"
"9009","Adel Bilal"
"13768","Adela de Castro Mangas"
"47429","Adelaide Harriet Osgood"
"37680","Adelaide Victoria Finch"
"39353","Adelais Eros Gupta"
"2409","Adele Geras"
"22912","Adele Lavallee"
"44748","Adele Millicent Smith"
"28082","Adele Schlombs"
"44723","Adele Stickland"
"24348","Adelheid Rasche"
"23401","Adeline Cordet"
"37625","Adeline Lesot"
"47370","Adeline Lobut"
"8918","Adeline Yen Mah"
"12920","Adelino Lima"
"18673","Ademola Adediji"
"20238","Adenrele Ojo"
"3805","Adeola Omole"
"43470","Adesh Silva"
"48658","Adetokunbo Knowes Borishade"
"11474","Adi Wolfson"
"50160","Adiba Jaigirdar"
"25137","Adidas Wilson"
"29173","Adil Dalbai"
"34086","Adil Mukesh"
"40410","Adil S. Virani"
"9892","Adilson Beatriz"
"12710","Adithya Ganesh"
"16177","Aditi Choudhary"
"38476","Aditya Bharadwaj"
"14859","Aditya Putranto"
"32373","Adjoa Andoh"
"12041","Admiral SirJames Burnell-Nugent"
"47497","Admiral William Henry Smyth"
"49770","Admit Art"
"19889","Adnan Adam Onart"
"40644","Adnan Elfarra"
"19367","Adnan Ibrahimbegovic"
"19996","Adnan Mahmutovic"
"23413","Adolf Boetticher"
"48197","Adolf Eichmann"
"601","Adolf Hinz"
"16163","Adolf Hitler"
"12039","Adolf J Schwab"
"16001","Adolf Kaegi"
"39442","Adolf Kussmaul"
"29691","Adolf Neubauer"
"26260","Adolf Rosenberg"
"24929","Adolf Ruthardt"
"39443","Adolf Tenner"
"39423","Adolfo Perez Agusti"
"41633","Adolfo Wegmann Stockebrand"
"7484","Adolph Carpe"
"47380","Adolph Donath"
"43573","Adolph Kruhm"
"23494","Adolph Moses"
"27401","Adolphe Abrahams"
"21213","Adolphus Bernay"
"23846","Adorable Notebook"
"30019","Adosaguas Sayalero"
"5228","Adres Catalan"
"33290","Adriaan W C Dorresteijn"
"12203","Adrian Andreescu"
"17166","Adrian Armstrong"
"9357","Adrian Barclay"
"4449","Adrian Bardon"
"21334","Adrian Besley"
"6240","Adrian Bevan"
"174","Adrian Bozon"
"7947","Adrian Bradbury"
"10725","Adrian C Sinnott"
"40445","Adrian Ciuche"
"6716","Adrian Coles"
"44731","Adrian Dater"
"9046","Adrian Dingle"
"35836","Adrian Edmondson"
"11554","Adrian F. Ashman"
"35061","Adrian Franklin"
"4298","Adrian Furnham"
"31362","Adrian Gilbert"
"11065","Adrian Grozavu"
"49411","Adrian H Joline"
"34777","Adrian Havill"
"29051","Adrian Hill"
"41376","Adrian Keane"
"28735","Adrian Kulp"
"36993","Adrian Lawson"
"33804","Adrian Lewis"
"20434","Adrian Little"
"41785","Adrian Luna"
"33687","Adrian Mulraney"
"30339","Adrian Norvid"
"39385","Adrian P. Hughes"
"20792","Adrian Peace"
"20164","Adrian Phillips"
"4845","Adrian Radulescu"
"3508","Adrian Raftery"
"37901","Adrian Robbe"
"30442","Adrian Searle"
"5978","Adrian Sharp"
"46713","Adrian Tame"
"6687","Adrian Tierney-Jones"
"28438","Adrian Tomine"
"25608","Adrian Waddington"
"41226","Adrian Wallwork"
"5609","Adrian West"
"22379","Adrian Wilkinson"
"11181","Adriana Consorte McCrea"
"39969","Adriana Migliorini"
"9130","Adriana Predoi-Cross"
"43504","Adriana Warmbier"
"15998","Adriana X. Jacobs"
"18716","Adriana Zoder"
"14333","Adrianna Kezar"
"17860","Adriano Milazzo"
"26954","Adriano Pedrosa"
"5725","Adriano Shaplin"
"46702","Adrien Loseille"
"19811","Adrienne Brown"
"33340","Adrienne Celt"
"22646","Adrienne Crafts"
"27459","Adrienne Edwards"
"33152","Adrienne Harris"
"5180","Adrienne J Odasso"
"20350","Adrienne Lawrence"
"35278","Adrienne Maree Brown"
"21975","Adrienne Monceau"
"13238","Adrienne Monteith Petty"
"23385","Adrienne Press"
"8740","Adrienne Salgado"
"48172","Adrienne Sosin"
"37203","Adrienne West"
"25295","Adult Arts"
"26397","Adult Coloring"
"23072","Adult Coloring Book"
"15410","Adult Coloring Books"
"25931","Adult Coloring Books for Stress Relief"
"34987","Adult Coloring World"
"19739","Adult Colouring Books"
"17365","Adult Literacy and Numeracy Australian Research Consortium"
"17600","Adult and Continuing Education (Ace)"
"47103","Advanced Color"
"32436","Advanced Life Support Group"
"43806","Adventure Publications"
"2298","Adwoa Badoe"
"31004","Adyashanti"
"4262","Aeilko H. Zwinderman"
"38538","Aejeong Kang"
"45825","Aero Creations"
"2495","Aeron Charline"
"44177","Aeronwen Morrison"
"36365","Aeryn Rudel"
"8106","Aesop"
"28090","Aesthetic Movement"
"15445","Afif Osseiran"
"3600","Afoluke Sangobowale"
"10996","African Creation Energy"
"3183","African Institution"
"13308","African Spir"
"46895","Afshan B. Hameed"
"40143","Aftab S. Hassan"
"26846","Afu Chan"
"2502","Afzal Ahmed"
"46543","Afzal Ballim"
"7823","Agamemnon Maverick"
"11001","Agapov Evgeniy"
"6016","Agata Kaminska"
"5293","Agata Piszko"
"2915","Agata Stachowicz-Stanusch"
"28044","Agata Szydlowska"
"13764","Agatha Christie"
"24309","Agcolors Pub"
"36450","Agent Dean Unkefer"
"46546","Agnes Baran"
"25336","Agnes Berecz"
"35623","Agnes Giberne"
"16073","Agnes Lam"
"13204","Agnes Musa"
"29247","Agnes Nyilas"
"18217","Agnes Sachse"
"10185","Agnes Szabados"
"20172","Agnes Szanto-feder"
"1520","Agnes Winter"
"17403","Agnieszka Bron-Wojciechowska"
"4601","Agnieszka Grzywacz"
"5309","Agnieszka Jezierska-Markocka"
"1749","Agnieszka Koscianska"
"11606","Agnieszka Kossowska"
"4215","Agnieszka Mikos"
"6266","Agnieszka Skora"
"13986","Agnieszka Wegiel"
"26251","Agostino Tofanelli"
"30085","Agricultural Bureau Japan"
"25291","Agridulce"
"1590","Aguilar"
"10834","Agust Einarsson"
"29630","Agustin Celis"
"34093","Agustin Fuentes"
"20440","Agustin Garmendia"
"26477","Agustin Gomez Sanz"
"7523","Agustin Udias"
"12096","Aguyo James"
"40257","Aha"
"26670","Ahiru Okano"
"9933","Ahmad A. Kamal"
"17717","Ahmad Ayaz"
"26259","Ahmad Dalabeh"
"17885","Ahmad Harb"
"17749","Ahmed Abbou"
"43824","Ahmed Abdullah"
"45024","Ahmed Afrose"
"9117","Ahmed Al-Harrasi"
"46590","Ahmed Amine Jerraya"
"19717","Ahmed Danny Ramadan"
"20014","Ahmed El Shamsy"
"8664","Ahmed F. Abdel-Magid"
"39428","Ahmed H. Al-Salem"
"10266","Ahmed H. Zewail"
"41608","Ahmed Hassanien"
"21689","Ahmed Kathrada"
"25234","Ahmed Mukhtar"
"45844","Ahmed N. Tantawy"
"11814","Ahmed S. Hashim"
"22157","Ahmed Shawki"
"46865","Ahmedul Kabir"
"18775","Ahmet Yavuz Oral"
"44923","Ahmmed Saadi Ibrahem"
"35864","Ahren Sanders"
"25720","Ahren Warner"
"35648","Ahri's Notebooks & Journals"
"27240","Ai-Guo Wu"
"32367","Aida Baida Gil"
"45500","Aida Ben Chehida Douss"
"47347","Aidan Dodson"
"27800","Aidan G. C. Wright"
"19155","Aidan Harvey-Craig"
"27417","Aidan Meehan"
"20224","Aidan Moran"
"18081","Aiden J. Smith"
"30778","Aiden Snow"
"4419","Aija Mayrock"
"4761","Ailbhe Malone"
"7669","Aileen Caffrey"
"36062","Ailsa Frank"
"37089","Aime Louis Rutot"
"20526","Aimee Boutin"
"1408","Aimee C Brooks"
"35321","Aimee Castle"
"42983","Aimee Dorr"
"33590","Aimee Friedman"
"3601","Aimee King"
"36810","Aimee Lilly"
"6225","Aimee Manis"
"26153","Aimee Ng"
"108","Aimee Quemuel"
"37039","Aimie K. Runyan"
"30053","Aina Girbau Canet"
"37025","Aina Taurina"
"7670","Aine Ni Ghlinn"
"49479","Ainsworth Rand Spofford"
"7007","Aio Team"
"37453","Air Commodore Graham Pitchfork"
"1968","Air Force Studies Board"
"42873","Airende Emiaghe"
"4741","Airini Beautrais"
"49550","Airsoftpress"
"33394","Airton Pozo de Mattos"
"46575","Aishah Amir"
"37110","Aisling Conaway"
"22829","Aisling D'Art"
"38460","Aisling McCluskey"
"25907","Aisling McKeefry"
"4453","Aisxylos Eyforionidhs"
"39411","Aitziber Emaldi Cirion"
"35910","Ajahn Brahm"
"38191","Ajai Chari"
"38694","Ajay K. Singh"
"45814","Ajay Kumar"
"18057","Ajay Kumar Jha"
"47014","Ajay Mathur"
"46359","Ajdin Imsirovic"
"18701","Ajit K. Mohanty"
"45341","Ajit Kumar"
"14747","Ajit Kumar Saxena"
"17643","Ajit Kumar Verma"
"45488","Ajit Singh"
"40164","Ajit V Pandya"
"12722","Ajit Varma"
"14446","Ajith Abraham"
"41843","Akad Oberratin Ulrike Schultz"
"49498","Akademie Der Wissenschaften in Gottinge"
"18504","Akal"
"12287","Akali Omeni"
"17171","Akamai School Notebooks"
"17734","Akari Hayashi"
"5789","Akash Vaghela"
"965","Ake Edwardson"
"42096","Akemi Dawn Bowman"
"16354","Akhil Garg"
"34818","Akhila Reddy"
"12000","Akhmanov"
"19116","Akhtar H. Surahyo"
"50413","Aki Fukuoka"
"26336","Aki Irie"
"9553","Akihiro Morita"
"21520","Akiki Fukai"
"5036","Akiko  Hayashi"
"26758","Akiko Morishima"
"29895","Akilah S. Nosakhere"
"26511","Akinari Nao"
"8147","Akinmayowa Adedoyin Shobo"
"42765","Akira Goto"
"26685","Akira Hagio"
"26338","Akira Hiramoto"
"26497","Akira Hiyoshimaru"
"26540","Akira Sugano"
"5920","Akira Tajino"
"26498","Akira Toriyama"
"26728","Akira Toriyama (Original Story)"
"43219","Akiva Goldsman"
"26649","Akiyoshi Ohta"
"16842","Akos"
"26932","Akos Moravanszky"
"10375","Akshat Rathi"
"21994","Al Chapman"
"38378","Al Cimino"
"2066","Al Desetta"
"3324","Al Ewing"
"36295","Al Franken"
"34425","Al Huba"
"36033","Al Kessel"
"17016","Al Lodwick"
"32893","Al Pittampalli"
"6435","Al Ries"
"7012","Al Sarrantonio"
"45281","Al Stevens"
"41431","Al Strachan"
"21891","Al Streetman"
"46707","Al Sweigart"
"36948","Al Yankovic"
"18621","Al-Abidi Abduljalil a"
"45401","Al-Saedi Firas Abdullah Thweny"
"16244","Al-Tariq Harris"
"45400","Al-Yasiri Ali Hadi Mohammed"
"12714","Ala R. Abbas"
"48691","Alafair Burke"
"20262","Alain Badiou"
"43217","Alain Carraze"
"12408","Alain Degenne"
"36411","Alain Eid"
"47921","Alain Eymard"
"41130","Alain Gehin"
"26331","Alain George"
"8002","Alain Goriely"
"4612","Alain Herve"
"14897","Alain Jacquemin-Sablon"
"27268","Alain Oustaloup"
"19096","Alain Pecker"
"8405","Alain Philippe Segonds"
"7329","Alain S Mikhayhu"
"18022","Alain Soren Mikhayhu"
"2782","Alain Tournyol du Clos"
"38582","Alain Vircondelet"
"4833","Alain-Fournier"
"46090","Alakh K Verma"
"41619","Alan & Cook Hargreaves"
"17174","Alan A. Block"
"2680","Alan Adrian Delfin Cota"
"38132","Alan Agresti"
"22083","Alan Aldridge"
"10882","Alan Anthony"
"43018","Alan B.R. Thomson"
"21308","Alan Bain"
